都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
01,北海道,135,111,700,1558,11,100,132,13,930,1,10,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
02,青森県,0,0,128,225,0,29,34,0,30,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
04,宮城県,2,1,388,400,0,57,60,1,200,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
06,山形県,2,2,150,150,1,16,16,0,188,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
07,福島県,3,3,229,800,0,15,20,0,300,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
08,茨城県,7,7,151,1000,1,30,50,0,34,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
09,栃木県,4,4,271,271,0,41,41,0,111,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
10,群馬県,7,7,170,280,1,23,50,0,150,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
11,埼玉県,28,26,602,602,5,60,60,1,1055,1,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
12,千葉県,23,20,819,1700,4,82,300,1,736,2,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
13,東京都,339,271,3300,4000,23,400,700,48,2865,13,0,7,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
14,神奈川県,124,87,2040,2800,15,172,300,16,2431,21,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
15,新潟県,1,1,411,766,0,112,112,0,50,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
16,富山県,4,4,500,500,0,20,20,0,100,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
17,石川県,33,33,233,520,2,30,40,0,340,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
18,福井県,1,1,176,350,1,19,19,0,115,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
19,山梨県,3,3,80,400,0,13,50,0,21,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
20,長野県,4,4,300,300,0,33,33,0,200,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
21,岐阜県,9,9,356,458,1,47,118,0,428,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
22,静岡県,2,2,200,400,0,20,20,0,155,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
23,愛知県,7,7,500,1500,0,28,400,0,1300,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
24,三重県,0,0,176,176,0,33,33,0,64,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
25,滋賀県,2,2,264,570,1,50,50,0,62,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
26,京都府,5,5,431,431,0,86,86,0,338,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
27,大阪府,55,52,1225,3000,14,188,300,0,1565,3,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
28,兵庫県,4,4,515,515,3,71,71,0,578,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
29,奈良県,1,1,422,500,0,23,25,0,108,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
30,和歌山県,0,0,150,160,0,32,32,0,137,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
31,鳥取県,0,0,322,322,0,48,48,0,640,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
32,島根県,1,1,253,253,1,30,46,0,45,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
33,岡山県,0,0,140,300,0,11,57,0,78,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
34,広島県,2,2,266,270,0,35,35,0,130,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
35,山口県,1,1,423,423,1,102,102,0,594,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
38,愛媛県,11,10,223,223,0,15,43,1,67,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
39,高知県,1,1,166,200,0,16,50,0,16,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
40,福岡県,131,97,490,1800,3,60,300,30,826,1,0,3,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
42,長崎県,0,0,307,903,0,21,29,0,6,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
43,熊本県,1,1,378,400,0,48,48,0,1430,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
44,大分県,1,1,258,300,0,35,35,0,65,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
45,宮崎県,0,0,204,231,0,21,21,0,200,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
46,鹿児島県,0,0,253,253,0,48,48,0,188,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
47,沖縄県,0,0,225,430,0,33,37,0,262,0,0,0,2021-06-10,https://www.mhlw.go.jp/content/10900000/000639642.pdf
