"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"12","千葉県","1137","445","４／４","1361","33%","1200","23","４／４","92","25%","180","199","４／４","968","21%","1400","466","0","27","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"13","東京都","3204","1491","４／４","5048","30%","6044","318","４／４","1024","31%","500","630","４／４","3290","19%","3000","642","0","441","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"14","神奈川県","844","283","２／４","1555","18%","1555","21","２／４","190","11%","190","139","２／２","976","14%","1000","421","1","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"15","新潟県","173","118","２／３","555","21%","555","2","２／３","112","2%","112","39","２／３","222","18%","222","16","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"16","富山県","19","19","１／４","500","4%","500","0","１／４","36","0%","36","0","１／４","377","0%","100","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"17","石川県","21","21","１／２","258","8%","254","0","１／２","35","0%","35","0","１／２","340","0%","340","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"18","福井県","32","32","２／４","255","13%","255","0","２／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"19","山梨県","11","10","１／４","285","4%","250","0","１／４","24","0%","24","1","３／４","139","1%","100","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"20","長野県","231","92","２／４","434","21%","434","1","２／４","49","2%","49","87","２／４","375","23%","375","46","0","6","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"21","岐阜県","123","120","２／３","694","17%","694","2","２／３","59","3%","59","3","２／３","603","0%","603","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"22","静岡県","222","53","４／４","480","11%","450","2","４／４","40","5%","67","81","４／４","592","14%","450","88","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"23","愛知県","647","189","２／４","1215","16%","839","9","２／４","126","7%","121","117","２／４","1300","9%","1300","283","0","58","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"24","三重県","117","104","３／３","392","27%","392","2","３／３","53","4%","53","9","３／３","100","9%","100","4","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"25","滋賀県","80","53","２／３","351","15%","350","5","２／３","49","10%","62","26","２／３","350","7%","350","1","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"26","京都府","209","101","３／３","453","22%","453","7","３／３","86","8%","86","60","３／３","826","7%","826","48","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"27","大阪府","2748","772","４／４","1990","39%","2021","146","４／４","460","32%","221","653","３／３","2416","27%","2416","1023","0","300","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"28","兵庫県","1136","504","６／６","839","60%","750","64","６／６","116","55%","120","298","６／６","1015","29%","1000","0","0","334","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"29","奈良県","278","156","３／３","372","42%","372","3","３／３","30","10%","30","96","３／３","254","38%","254","0","0","26","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"30","和歌山県","91","91","２／４","400","23%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"31","鳥取県","30","30","２／３","313","10%","300","0","２／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"32","島根県","3","3","１／５","253","1%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"33","岡山県","83","47","２／４","412","11%","250","3","２／４","43","7%","40","33","２／４","207","16%","180","2","0","1","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"34","広島県","82","36","１／３","485","7%","500","1","１／３","48","2%","70","38","１／３","1400","3%","1400","8","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"35","山口県","23","22","２／３","475","5%","475","0","２／３","124","0%","137","1","１／３","834","0%","834","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"36","徳島県","71","67","２／４","200","34%","200","2","２／４","25","8%","25","4","２／４","210","2%","210","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"37","香川県","66","25","２／３","209","12%","209","0","２／３","26","0%","26","17","２／３","101","17%","101","0","0","24","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"38","愛媛県","287","58","３／３","265","22%","223","0","３／３","33","0%","33","48","３／３","192","25%","117","181","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"39","高知県","12","12","２／４","200","6%","200","2","２／４","58","3%","57","0","２／４","203","0%","190","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"40","福岡県","373","212","３／３","770","28%","760","5","３／３","111","5%","110","90","３／３","1387","6%","1200","60","11","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"41","佐賀県","31","15","３／４","328","5%","328","1","３／４","46","2%","46","16","１／４","377","4%","377","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"42","長崎県","18","9","２／４","424","2%","421","0","２／４","38","0%","42","5","２／４","384","1%","384","4","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"43","熊本県","25","21","１／３","505","4%","420","2","１／３","59","3%","59","4","１／３","440","1%","140","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"44","大分県","8","7","１／４","367","2%","367","1","１／４","43","2%","43","1","１／２","700","0%","170","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"45","宮崎県","8","4","１／３","281","1%","281","1","１／３","33","3%","33","2","１／３","250","1%","250","2","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"46","鹿児島県","51","25","３／４","376","7%","300","0","３／４","42","0%","48","26","３／４","577","5%","370","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"47","沖縄県","625","220","４／５","507","43%","425","22","４／５","63","35%","51","173","４／５","440","39%","340","232","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
