"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","3","3","0","0",,,,
"2020-03-19","3","3","0","0",,,,
"2020-03-20","3","3","0","0",,,,
"2020-03-21","3","3","0","0",,,,
"2020-03-22","3","3","0","0",,,,
"2020-03-23","3","3","0","0",,,,
"2020-03-24","3","2","1","0",,,,
"2020-03-25","3","2","1","0",,,,
"2020-03-26","3","2","1","0",,,,
"2020-03-27","3","2","1","0",,,,
"2020-03-28","3","2","1","0",,,,
"2020-03-29","3","2","1","0",,,,
"2020-03-30","3","2","1","0",,,,
"2020-03-31","3","2","1","0",,,,
"2020-04-01","3","2","1","0",,,,
"2020-04-02","3","2","1","0",,,,
"2020-04-03","4","2","2","0",,,,
"2020-04-04","4","2","2","0",,,,
"2020-04-05","6","4","2","0",,,,
"2020-04-06","7","4","3","0",,,,
"2020-04-07","7","4","3","0",,,,
"2020-04-08","12","9","3","0",,,,
"2020-04-09","16","13","3","0",,,,
"2020-04-10","16","13","3","0",,,,
"2020-04-11","17","14","3","0",,,,
"2020-04-12","17","14","3","0",,,,
"2020-04-13","17","14","3","0",,,,
"2020-04-14","17","14","3","0",,,,
"2020-04-15","17","13","4","0",,,,
"2020-04-16","17","13","4","0",,,,
"2020-04-17","17","13","4","0",,,,
"2020-04-18","17","13","4","0",,,,
"2020-04-19","17","13","4","0",,,,
"2020-04-20","17","13","4","0",,,,
"2020-04-21","17","13","4","0",,,,
"2020-04-22","17","13","4","0",,,,
"2020-04-23","17","10","7","0",,,,
"2020-04-24","17","10","7","0",,,,
"2020-04-25","17","10","7","0",,,,
"2020-04-26","17","9","8","0",,,,
"2020-04-27","17","8","9","0",,,,
"2020-04-28","17","7","10","0",,,,
"2020-04-29","17","7","10","0",,,,
"2020-04-30","17","6","11","0",,,,
"2020-05-01","17","6","11","0",,,,
"2020-05-02","17","6","11","0",,,,
"2020-05-03","17","6","11","0",,,,
"2020-05-04","17","6","11","0",,,,
"2020-05-05","17","6","11","0",,,,
"2020-05-06","17","6","11","0",,,,
"2020-05-07","17","6","11","0",,,,
"2020-05-08","17","6","11","不明","不明","0","1213",
"2020-05-09","17","5","12","-","-","0","3466",
"2020-05-10","17","5","12","-","-","0","1213",
"2020-05-11","17","5","12","-","-","0","1243",
"2020-05-12","17","5","12","-","0","0","1250",
"2020-05-13","17","5","12","0","0","0","1268",
"2020-05-14","17","5","12","0","0","0","1278",
"2020-05-15","17","4","13","0","0","0","1290",
"2020-05-16","17","3","14","0","0","0","1290",
"2020-05-17","17","3","14","0","0","0","1290",
"2020-05-18","17","3","14","0","0","0","1308",
"2020-05-19","17","3","14","0","0","0","1314",
"2020-05-20","17","3","14","0","0","0","1324",
"2020-05-21","17","3","14","0","0","0","1333",
"2020-05-22","17","3","14","0","0","0","1339",
"2020-05-23","17","2","15","0","0","0","1339",
"2020-05-24","17","2","15","0","0","0","1339",
"2020-05-25","17","1","16","0","0","0","1351",
"2020-05-26","17","0","17","0","0","0","1358",
"2020-05-27","17","0","17","0","0","0","1362",
"2020-05-28","17","0","17","0","0","0","1363",
"2020-05-29","17","0","17","0","0","0","1368",
"2020-05-30","17","0","17","0","0","0","1368",
"2020-05-31","17","0","17","0","0","0","1368",
"2020-06-01","17","0","17","0","0","0","1386",
"2020-06-02","17","0","17","0","0","0","1391",
"2020-06-03","17","0","17","0","0","0","1402",
"2020-06-04","17","0","17","0","0","0","1407",
"2020-06-05","17","0","17","0","0","0","1414",
"2020-06-06","17","0","17","0","0","0","1414",
"2020-06-07","17","0","17","0","0","0","1414",
"2020-06-08","17","0","17","0","0","0","1434",
"2020-06-09","17","0","17","0","0","0","1441",
"2020-06-10","17","0","17","0","0","0","1453",
"2020-06-11","17","0","17","0","0","0","1461",
"2020-06-12","17","0","17","0","0","0","1470",
"2020-06-13","17","0","17","0","0","0","1470",
"2020-06-14","17","0","17","0","0","0","1470",
"2020-06-15","17","0","17","0","0","0","1480",
"2020-06-16","17","0","17","0","0","0","1487",
"2020-06-17","17","0","17","0","0","0","1494",
"2020-06-18","17","0","17","0","0","0","1504",
"2020-06-19","17","0","17","0","0","0","1509",
"2020-06-20","17","0","17","0","0","0","1509",
"2020-06-21","17","0","17","0","0","0","1509",
"2020-06-22","17","0","17","0","0","0","1520",
"2020-06-23","17","0","17","0","0","0","1525",
"2020-06-24","17","0","17","0","0","0","1536",
"2020-06-25","17","0","17","0","0","0","1543",
"2020-06-26","17","0","17","0","0","0","1549",
"2020-06-27","17","0","17","0","0","0","1549",
"2020-06-28","17","0","17","0","0","0","1549",
"2020-06-29","17","0","17","0","0","0","1562",
"2020-06-30","17","0","17","0","0","0","1567",
"2020-07-01","17","0","17","0","0","0","1578",
"2020-07-02","17","0","17","0","0","0","1582",
"2020-07-03","17","0","17","0","0","0","1589",
"2020-07-04","17","0","17","0","0","0","1589",
"2020-07-05","17","0","17","0","0","0","1589",
"2020-07-06","18","1","17","0","0","0","1609",
"2020-07-07","18","1","17","0","0","0","1624",
"2020-07-08","18","1","17","0","0","0","1645",
"2020-07-09","18","1","17","0","0","0","1661",
"2020-07-10","18","1","17","0","0","0","1674",
"2020-07-11","18","1","17","0","0","0","1674",
"2020-07-12","18","1","17","0","0","0","1674",
"2020-07-13","20","1","17","0","0","2","1701",
"2020-07-14","20","3","17","0","0","0","1716",
"2020-07-15","20","3","17","0","0","0","1748",
"2020-07-16","20","3","17","0","0","0","1759",
"2020-07-17","20","2","18","0","0","0","1770",
"2020-07-18","20","2","18","0","0","0","1770",
"2020-07-19","20","2","18","0","0","0","1770",
"2020-07-20","20","2","18","0","0","0","1823",
"2020-07-21","20","2","18","0","0","0","1838",
"2020-07-22","20","2","18","0","0","0","1868",
"2020-07-23","23","5","18","0","0","0","1868",
"2020-07-24","27","5","18","0","0","4","1868",
"2020-07-25","36","6","18","0","0","12","1868",
"2020-07-26","62","42","20","0","0","0","1868",
"2020-07-27","73","53","20","0","0","0","2684",
"2020-07-28","85","65","20","0","0","0","2970",
"2020-07-29","106","86","20","0","0","0","3246",
"2020-07-30","106","86","20","0","0","0","3631",
"2020-07-31","121","100","21","0","0","0","3985",
"2020-08-01","121","120","21","0","0","20","4431",
"2020-08-02","157","132","25","0","0","0","4920",
"2020-08-03","157","132","25","0","0","0","5088",
"2020-08-04","175","148","27","0","1","0","5342",
"2020-08-05","187","150","37","0","3","0","5633",
"2020-08-06","195","144","51","0","3","0","5806",
"2020-08-07","208","133","75","0","3","0","5940",
"2020-08-08","215","127","88","0","3","0","5940",
"2020-08-09","228","123","105","0","3","0","5940",
"2020-08-10","234","120","114","0","3","0","5940",
"2020-08-11","241","117","124","0","0","0","6425",
"2020-08-12","243","103","140","0","2","0","6485",
"2020-08-13","248","100","148","0","0","0","6659",
"2020-08-14","253","88","164","1","0","0","6761",
"2020-08-15","256","78","178","1","0","1","6761",
"2020-08-16","261","78","183","1","0","1","6761",
"2020-08-17","267","76","191","1","0","1","6956",
"2020-08-18","273","66","207","1","0","1","7054",
"2020-08-19","273","66","207","1","0","1","7166",
"2020-08-20","297","76","221","1","0","1","7251",
"2020-08-21","303","78","225","1","0","1","7335",
"2020-08-22","309","73","236","1","0","1","7335",
"2020-08-23","317","81","236","1","0","1","7335",
"2020-08-24","321","80","241","1","0","1","7669",
"2020-08-25","325","74","251","1","0","1","7739",
"2020-08-26","325","74","251","1","0","1","7800",
"2020-08-27","330","65","265","1","0","1","7874",
"2020-08-28","331","61","270","1","0","1","7943",
"2020-08-29","333","44","289","1","0","1","7943",
"2020-08-30","335","37","298","1","0","1","7943",
"2020-08-31","336","35","301","1","0","1","8054",
"2020-09-01","337","35","302","1","0","1","8080",
"2020-09-02","338","30","308","1","0","1","8126",
"2020-09-03","338","23","315","1","0","1","8147",
"2020-09-04","338","22","316","1","0","1","8161",
"2020-09-05","338","20","318","1","0","1","8161",
"2020-09-06","339","21","318","1","0","1","8161",
"2020-09-07","339","18","321","1","0","1","8190",
"2020-09-08","339","18","321","1","0","1","8198",
"2020-09-09","339","18","321","1","0","1","8251",
"2020-09-10","339","11","328","1","0","1","8267",
"2020-09-11","339","10","329","1","0","1","8279",
"2020-09-12","340","9","331","1","0","1","8279",
"2020-09-13","342","11","331","1","0","1","8279",
"2020-09-14","342","10","332","1","0","1","8331",
"2020-09-15","343","8","335","1","0","1","8383",
"2020-09-16","344","6","338","1","0","1","8416",
"2020-09-17","344","5","339","1","0","1","8441",
"2020-09-18","344","4","340","1","0","1","8455",
"2020-09-19","344","4","340","1","0","1","8455",
"2020-09-20","344","4","340","1","0","1","8455",
"2020-09-21","344","4","340","1","0","1","8455",
"2020-09-22","344","4","340","1","0","1","8455",
"2020-09-23","344","2","342","1","0","1","8497",
"2020-09-24","344","2","342","1","0","1","8514",
"2020-09-25","344","2","342","1","0","1","8534",
"2020-09-26","344","2","342","1","0","1","8534",
"2020-09-27","344","2","342","1","0","1","8534",
"2020-09-28","344","1","343","1","0","1","8560",
"2020-09-29","344","1","343","1","0","1","8572",
"2020-09-30","344","1","343","1","0","1","8582",
"2020-10-01","344","1","343","1","0","1","8593",
"2020-10-02","344","1","343","1","0","1","8601",
"2020-10-03","344","1","343","1","0","1","8601",
"2020-10-04","344","1","343","1","0","1","8601",
"2020-10-05","344","1","343","1","0","1","8631",
"2020-10-06","344","1","343","1","0","1","8635",
"2020-10-07","344","1","343","1","0","1","8649",
"2020-10-08","344","1","343","1","0","1","8654",
"2020-10-09","344","0","344","1","0","1","8656",
"2020-10-10","344","0","344","1","0","1","8656",
"2020-10-11","344","0","344","1","0","1","8656",
"2020-10-12","344","0","344","1","0","1","8672",
"2020-10-13","344","0","344","1","0","1","8677",
"2020-10-14","344","0","344","1","0","1","8692",
"2020-10-15","366","1","365","1","0","1","8699",
"2020-10-16","366","1","365","1","0","1","8703",
"2020-10-17","366","1","365","1","0","1","8703",
"2020-10-18","366","1","365","1","0","1","8703",
"2020-10-19","366","1","365","1","0","1","8720",
"2020-10-20","366","1","365","1","0","1","8725",
"2020-10-21","366","1","365","1","0","1","8729",
"2020-10-22","366","1","365","1","0","1","8736",
"2020-10-23","366","1","365","1","0","1","8741",
"2020-10-24","366","1","365","1","0","1","8741",
"2020-10-25","366","1","365","1","0","1","8741",
"2020-10-26","367","1","366","1","0","1","8758",
"2020-10-27","367","1","366","1","0","1","8765",
"2020-10-28","367","1","366","1","0","1","8772",
"2020-10-29","367","1","366","1","0","1","8784",
"2020-10-30","367","1","366","1","0","1","8791",
"2020-10-31","367","1","366","1","0","1","8791",
"2020-11-01","367","1","366","1","0","1","8791",
"2020-11-02","367","0","367","1","0","1","8799",
"2020-11-03","369","2","367","1","0","1","8799",
"2020-11-04","371","4","367","1","1","1","8803",
"2020-11-05","371","3","368","1","1","1","8803",
"2020-11-06","372","4","368","1","1","1","8807",
"2020-11-07","372","4","368","1","1","1","8807",
"2020-11-08","372","3","369","1","1","1","8807",
"2020-11-09","373","4","369","1","1","1","8822",
"2020-11-10","373","3","370","1","1","1","8828",
"2020-11-11","373","3","370","1","1","1","8829",
"2020-11-12","373","3","370","1","1","1","8829",
"2020-11-13","373","3","370","1","1","1","8829",
"2020-11-14","373","3","370","1","1","1","8829",
"2020-11-15","373","3","370","1","1","1","8829",
"2020-11-16","374","3","371","1","1","1","8836",
"2020-11-17","375","3","372","1","0","1","8836",
"2020-11-18","385","13","372","1","0","1","8852",
"2020-11-19","388","16","372","1","0","1","8869",
"2020-11-20","398","26","372","1","0","1","8918",
"2020-11-21","414","42","372","1","0","1","8918",
"2020-11-22","428","56","372","1","0","1","8918",
"2020-11-23","433","61","372","1","0","1","8918",
"2020-11-24","439","65","374","1","1","1","9200",
"2020-11-25","449","75","374","1","2","1","9246",
"2020-11-26","458","83","375","1","2","1","9305",
"2020-11-27","477","93","384","1","2","1","9431",
"2020-11-28","477","93","384","1","2","1","9431",
"2020-11-29","477","93","384","1","2","1","9431",
"2020-11-30","503","95","408","1","2","1","9765",
"2020-12-01","513","92","421","1","2","1","9821",
"2020-12-02","521","97","424","1","2","1","9975",
"2020-12-03","527","90","437","1","2","1","10183",
"2020-12-04","534","91","443","1","1","1","10314",
"2020-12-05","545","96","449","1","1","1","10314",
"2020-12-06","557","97","460","1","1","1","10314",
"2020-12-07","566","103","463","1","1","1","10583",
"2020-12-08","568","95","474","1","1","2","10600",
"2020-12-09","574","95","479","2","1","2","10751",
"2020-12-10","579","94","485","3","1","3","10795",
"2020-12-11","584","87","497","3","1","3","10923",
"2020-12-12","584","87","497","3","1","3","10923",
"2020-12-13","584","87","497","3","1","3","10923",
"2020-12-14","612","94","518","3","1","3","11276",
"2020-12-15","616","80","536","3","1","3","11354",
"2020-12-16","622","72","550","4","2","4","11400",
"2020-12-17","632","72","560","4","2","4","11471",
"2020-12-18","647","78","569","4","2","4","11569",
"2020-12-19","658","85","573","4","2","4","11569",
"2020-12-20","666","84","582","4","2","4","11569",
"2020-12-21","669","82","587","5","1","5","11785",
"2020-12-22","669","82","587","5","1","5","11785",
"2020-12-23","677","71","606","5","1","5","11916",
"2020-12-24","686","73","613","5","0","5","12057",
"2020-12-25","695","73","622","5","0","5","12114",
"2020-12-26","695","73","622","5","0","5","12114",
"2020-12-27","710","72","638","5","0","5","12114",
"2020-12-28","715","68","647","5","0","5","12454",
"2020-12-29","715","68","647","5","0","5","12454",
"2020-12-30","715","68","647","5","0","5","12454",
"2020-12-31","759","91","668","5","0","5","12454",
"2021-01-01","759","91","668","5","0","5","12454",
"2021-01-02","759","91","668","5","0","5","12454",
"2021-01-03","759","91","668","5","0","5","12454",
"2021-01-04","878","186","692","9","2","9","13419",
"2021-01-05","916","216","700","9","2","9","13756","JP-45"
"2021-01-06","996","286","710","9","2","9","14118","JP-45"
"2021-01-07","996","286","710","9","2","9","14580","JP-45"
"2021-01-08","1173","445","728","10","2","10","15272","JP-45"
"2021-01-09","1173","445","728","10","2","10","15272","JP-45"
"2021-01-10","1298","531","767","10","2","10","15272","JP-45"
"2021-01-11","1327","536","791","10","2","10","15272","JP-45"
"2021-01-12","1340","504","836","10","4","10","17590","JP-45"
"2021-01-13","1381","539","885","10","5","53","18071","JP-45"
"2021-01-14","1429","506","923","11","6","11","18621","JP-45"
"2021-01-15","1475","485","990","11","6","11","18888","JP-45"
"2021-01-16","1475","470","990","11","6","4","18888","JP-45"
"2021-01-17","1475","456","990","11","6","18","18888","JP-45"
"2021-01-18","1570","433","1130","11","7","4","19717","JP-45"
"2021-01-19","1599","362","1230","13","8","6","20022","JP-45"
"2021-01-20","1650","368","1275","14","8","7","20385","JP-45"
"2021-01-21","1678","367","1304","14","8","7","20633","JP-45"
"2021-01-22","1696","350","1339","15","8","8","20872","JP-45"
"2021-01-23","1696","350","1339","15","8","8","20872","JP-45"
"2021-01-26","1760","264","1489","17","9","10","21639","JP-45"
"2021-01-27","1777","255","1515","17","8","10","22039","JP-45"
"2021-01-28","1794","246","1541","17","8","10","22420","JP-45"
"2021-01-29","1808","230","1571","17","7","10","22673","JP-45"
"2021-01-30","1808","204","1571","17","7","16","22673","JP-45"
"2021-01-31","1808","184","1571","17","7","36","22673","JP-45"
"2021-02-01","1836","177","1652","20","6","13","23136","JP-45"
"2021-02-02","1853","173","1673","20","5","13","23387","JP-45"
"2021-02-03","1866","180","1679","20","5","13","23721","JP-45"
"2021-02-04","1873","167","1699","20","4","13","23910","JP-45"
"2021-02-05","1879","151","1721","20","4","13","24027","JP-45"
"2021-02-06","1879","141","1721","20","4","3","24027","JP-45"
"2021-02-07","1879","132","1721","20","4","6","24027","JP-45"
"2021-02-08","1883","116","1760","20","3","13","24223","JP-45"
"2021-02-09","1891","115","1749","20","3","7","24235","JP-45"
"2021-02-10","1906","104","1775","20","3","7","24309","JP-45"
"2021-02-11","1906","104","1775","20","3","7","24309","JP-45"
"2021-02-12","1906","102","1775","20","2","9","24475","JP-45"
"2021-02-13","1906","99","1775","20","2","12","24475","JP-45"
"2021-02-14","1906","96","1775","20","2","15","24475","JP-45"
"2021-02-15","1935","73","1834","21","1","7","24553","JP-45"
"2021-02-16","1937","68","1841","21","1","7","24572","JP-45"
"2021-02-17","1938","62","1848","21","0","7","24581","JP-45"
"2021-02-18","1940","55","1857","21","0","7","24604","JP-45"
"2021-02-19","1943","50","1865","21","0","7","24614","JP-45"
"2021-02-20","1943","43","1865","21","0","14","24614","JP-45"
"2021-02-21","1943","42","1865","21","0","15","24614","JP-45"
"2021-02-22","1946","42","1876","21","0","7","24645","JP-45"
"2021-02-23","1946","36","1876","21","0","13","24645","JP-45"
"2021-02-24","1949","31","1890","21","0","7","24664","JP-45"
"2021-02-25","1951","27","1896","21","0","7","24708","JP-45"
"2021-02-26","1951","27","1896","21","1","7","24715","JP-45"
"2021-02-27","1951","25","1896","21","1","9","24715","JP-45"
"2021-02-28","1951","24","1896","21","1","10","24715","JP-45"
"2021-03-01","1951","23","1896","21","1","11","24716","JP-45"
"2021-03-02","1953","20","1905","21","1","7","24724","JP-45"
"2021-03-03","1953","22","1905","21","1","5","24752","JP-45"
"2021-03-04","1953","16","1930","21","1","14","24753","JP-45"
"2021-03-05","1953","16","1930","21","1","14","24794","JP-45"
"2021-03-06","1953","16","1930","21","1","14","24794","JP-45"
"2021-03-07","1953","16","1930","21","1","14","24794","JP-45"
"2021-03-08","1953","12","1913","21","1","7","24799","JP-45"
"2021-03-09","1953","11","1913","21","1","8","24802","JP-45"
"2021-03-10","1953","9","1915","21","1","8","24803","JP-45"
"2021-03-11","1953","7","1918","21","1","7","24803","JP-45"
"2021-03-12","1953","6","1918","22","0","7","24803","JP-45"
"2021-03-13","1953","6","1918","22","0","7","24803","JP-45"
"2021-03-14","1953","6","1918","22","0","7","24803","JP-45"
"2021-03-15","1953","6","1918","22","0","7","24804","JP-45"
"2021-03-16","1953","1","1923","22","0","7","24804","JP-45"
"2021-03-17","1953","0","1924","22","0","7","24805","JP-45"
"2021-03-18","1953","0","1924","22","0","7","24806","JP-45"
"2021-03-19","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-20","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-21","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-22","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-23","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-24","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-25","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-26","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-27","1953","0","1924","22","0","7","24807","JP-45"
"2021-03-28","1954","1","1924","22","0","7","24807","JP-45"
"2021-03-29","1954","1","1924","22","0","7","24808","JP-45"
"2021-03-30","1961","8","1924","22","0","7","24817","JP-45"
"2021-03-31","1966","13","1924","22","0","7","24825","JP-45"
"2021-04-01","1966","19","1924","22","0","1","24843","JP-45"
"2021-04-02","1966","20","1924","22","0","0","24863","JP-45"
"2021-04-03","1966","20","1924","22","0","0","24863","JP-45"
"2021-04-04","1966","20","1924","22","0","0","24863","JP-45"
"2021-04-05","1966","21","1924","22","1","1","24922","JP-45"
"2021-04-06","1966","21","1924","22","1","1","24926","JP-45"
"2021-04-07","1966","21","1924","22","1","1","24930","JP-45"
"2021-04-08","1971","12","1930","22","0","7","24946","JP-45"
"2021-04-09","1971","10","1930","22","0","9","24949","JP-45"
"2021-04-10","1971","8","1930","22","0","11","24949","JP-45"
"2021-04-11","1971","16","1930","22","0","3","24949","JP-45"
"2021-04-12","2020","53","1938","22","0","7","25609","JP-45"
"2021-04-13","2025","58","1938","22","0","7","26120","JP-45"
"2021-04-14","2025","62","1938","22","0","3","26708","JP-45"
"2021-04-15","2025","62","1938","22","0","3","27215","JP-45"
"2021-04-16","2043","71","1943","22","0","7","27504","JP-45"
"2021-04-17","2043","70","1943","22","0","8","27504","JP-45"
"2021-04-18","2043","68","1943","22","0","10","27504","JP-45"
"2021-04-19","2053","60","1986","22","0","15","27800","JP-45"
"2021-04-20","2053","52","1986","22","0","7","27921","JP-45"
"2021-04-21","2053","49","1986","22","0","4","27993","JP-45"
"2021-04-22","2080","56","1995","22","0","7","28287","JP-45"
"2021-04-23","2089","58","2001","22","0","8","28570","JP-45"
"2021-04-24","2124","86","2008","22","0","8","28570","JP-45"
"2021-04-25","2140","99","2011","22","0","8","28570","JP-45"
"2021-04-26","2145","102","2013","22","1","8","29454","JP-45"
"2021-04-27","2155","107","2018","22","1","8","29900","JP-45"
"2021-04-28","2176","125","2021","22","1","8","30168","JP-45"
"2021-04-29","2176","125","2021","22","1","8","30168","JP-45"
"2021-04-30","2212","148","2034","22","0","8","30480","JP-45"
"2021-05-01","2246","173","2043","22","0","8","30480","JP-45"
"2021-05-02","2246","173","2043","22","0","8","30480","JP-45"
"2021-05-03","2246","173","2043","22","0","8","30480","JP-45"
"2021-05-04","2246","173","2043","22","0","8","30480","JP-45"
"2021-05-05","2246","173","2043","22","0","8","30480","JP-45"
"2021-05-06","2406","280","2095","23","2","8","32699","JP-45"
"2021-05-07","2463","331","2101","23","3","8","33156","JP-45"
"2021-05-08","2463","331","2101","23","3","8","33156","JP-45"
"2021-05-09","2463","331","2101","23","3","8","33156","JP-45"
"2021-05-10","2604","405","2168","23","4","8","34301","JP-45"
"2021-05-11","2657","439","2186","24","4","8","34771","JP-45"
"2021-05-12","2697","457","2207","25","5","8","35075","JP-45"
"2021-05-13","2734","479","2221","25","5","9","35688","JP-45"
"2021-05-14","2764","461","2269","25","5","9","36174","JP-45"
"2021-05-15","2764","461","2269","25","5","9","36174","JP-45"
"2021-05-16","2764","461","2269","25","5","9","36174","JP-45"
"2021-05-17","2840","425","2381","25","5","9","37663","JP-45"
"2021-05-18","2867","374","2459","25","5","9","37990","JP-45"
"2021-05-19","2887","354","2499","25","5","9","38333","JP-45"
"2021-05-20","2924","354","2535","25","7","10","38670","JP-45"
"2021-05-21","2939","310","2594","25","7","10","38919","JP-45"
"2021-05-22","2939","306","2594","25","7","14","38919","JP-45"
"2021-05-23","2939","285","2594","25","7","35","38919","JP-45"
"2021-05-24","2975","266","2674","25","4","10","40080","JP-45"
"2021-05-25","2992","261","2696","25","4","10","40322","JP-45"
"2021-05-26","3002","228","2739","25","3","10","40541","JP-45"
"2021-05-27","3008","188","2785","25","2","10","40697","JP-45"
"2021-05-28","3019","184","2800","25","2","10","40988","JP-45"
"2021-05-29","3019","172","2800","25","2","22","40988","JP-45"
"2021-05-30","3019","157","2800","25","2","37","40988","JP-45"
"2021-05-31","3032","125","2872","25","3","10","42044","JP-45"
"2021-06-01","3034","109","2890","25","3","10","42796","JP-45"
"2021-06-02","3037","91","2910","26","3","10","43294","JP-45"
"2021-06-03","3042","85","2921","26","2","10","43321","JP-45"
"2021-06-04","3046","73","2937","26","2","10","43344","JP-45"
"2021-06-05","3046","73","2937","26","2","10","43344","JP-45"
"2021-06-06","3046","73","2937","26","2","10","43344","JP-45"
"2021-06-07","3046","73","2937","26","2","10","43446","JP-45"
"2021-06-08","3048","40","2972","26","2","10","43464","JP-45"
"2021-06-09","3049","34","2979","26","3","10","43551","JP-45"
"2021-06-10","3051","34","2980","27","2","10","43572","JP-45"
"2021-06-11","3056","36","2983","27","2","10","43591","JP-45"
"2021-06-12","3056","36","2983","27","2","10","43591","JP-45"
"2021-06-13","3056","40","2983","27","2","6","43591","JP-45"
"2021-06-15","3056","40","2983","27","2","6","43735","JP-45"
"2021-06-16","3056","40","2983","27","0","6","43782","JP-45"
"2021-06-17","3062","25","3000","27","0","10","43829","JP-45"
"2021-06-18","3067","27","3003","27","0","10","43842","JP-45"
"2021-06-19","3067","24","3003","27","0","13","43842","JP-45"
"2021-06-20","3067","24","3003","27","0","13","43842","JP-45"
"2021-06-21","3067","24","3003","27","0","13","43896","JP-45"
"2021-06-22","3069","18","3014","27","0","10","43927","JP-45"
"2021-06-23","3070","15","3018","27","0","10","43933","JP-45"
"2021-06-24","3072","17","3018","27","0","10","43952","JP-45"
"2021-06-25","3076","20","3019","27","0","10","44111","JP-45"
"2021-06-26","3076","20","3019","27","0","10","44111","JP-45"
"2021-06-27","3076","20","3019","27","0","10","44111","JP-45"
"2021-06-28","3076","20","3019","27","0","10","44161","JP-45"
"2021-06-29","3076","20","3019","27","0","10","44176","JP-45"
"2021-06-30","3090","15","3025","27","0","23","44225","JP-45"
"2021-07-01","3094","17","3027","27","0","23","44396","JP-45"
"2021-07-02","3099","20","3028","27","0","24","44507","JP-45"
"2021-07-03","3099","20","3028","27","0","24","44507","JP-45"
"2021-07-04","3099","20","3028","27","0","24","44507","JP-45"
"2021-07-05","3101","12","3035","27","0","27","44651","JP-45"
"2021-07-06","3102","29","3036","27","0","10","44655","JP-45"
"2021-07-07","3104","21","3046","27","0","10","44704","JP-45"
"2021-07-08","3107","22","3048","27","0","10","44725","JP-45"
"2021-07-09","3107","22","3048","27","0","10","44740","JP-45"
"2021-07-10","3107","19","3048","27","0","13","44740","JP-45"
"2021-07-11","3107","19","3048","27","0","13","44740","JP-45"
"2021-07-12","3111","17","3057","27","0","10","44796","JP-45"
"2021-07-13","3114","16","3060","27","0","11","44801","JP-45"
"2021-07-14","3117","17","3062","27","0","11","44833","JP-45"
"2021-07-15","3118","18","3062","27","0","11","44910","JP-45"
"2021-07-16","3118","14","3066","27","0","11","44922","JP-45"
"2021-07-17","3118","11","3066","27","0","14","44922","JP-45"
"2021-07-18","3118","12","3066","27","0","13","44922","JP-45"
"2021-07-19","3127","19","3070","27","0","11","44978","JP-45"
"2021-07-20","3132","21","3073","27","0","11","45004","JP-45"
"2021-07-21","3139","28","3073","27","0","11","45086","JP-45"
"2021-07-22","3139","35","3073","27","0","4","45086","JP-45"
"2021-07-23","3139","32","3073","27","0","7","45086","JP-45"
"2021-07-24","3139","38","3073","27","0","1","45086","JP-45"
"2021-07-25","3139","44","3073","27","0","5","45086","JP-45"
"2021-07-26","3167","51","3078","27","0","11","45406","JP-45"
"2021-07-27","3180","62","3080","27","0","11","45489","JP-45"
"2021-07-28","3190","66","3086","27","0","11","45586","JP-45"
"2021-07-29","3206","79","3089","27","0","11","45659","JP-45"
"2021-07-30","3221","91","3098","27","0","5","45764","JP-45"
"2021-07-31","3221","95","3098","27","0","1","45764","JP-45"
"2021-08-01","3221","103","3098","27","0","7","45764","JP-45"
"2021-08-02","3267","116","3113","27","0","11","46053","JP-45"
"2021-08-03","3300","143","3119","27","0","11","46142","JP-45"
"2021-08-04","3329","171","3120","27","0","11","46262","JP-45"
"2021-08-05","3365","193","3133","27","0","12","46487","JP-45"
"2021-08-06","3398","209","3150","27","1","12","46942","JP-45"
"2021-08-07","3398","222","3150","27","1","1","46942","JP-45"
"2021-08-08","3398","243","3150","27","1","22","46942","JP-45"
"2021-08-09","3398","267","3150","27","1","46","46942","JP-45"
"2021-08-10","3537","294","3204","27","1","12","49021","JP-45"
"2021-08-11","3581","309","3233","27","1","12","49324","JP-45"
"2021-08-12","3581","317","3233","27","1","4","49987","JP-45"
"2021-08-13","3706","378","3289","27","1","12","50655","JP-45"
"2021-08-14","3706","391","3289","27","1","1","50655","JP-45"
"2021-08-15","3706","389","3289","27","1","1","50655","JP-45"
"2021-08-16","3821","394","3387","27","1","13","51832","JP-45"
"2021-08-17","3932","485","3407","27","0","13","52244","JP-45"
"2021-08-18","4059","581","3438","27","1","13","52761","JP-45"
"2021-08-19","4180","678","3462","27","1","13","53355","JP-45"
"2021-08-20","4286","734","3511","28","1","13","53900","JP-45"
"2021-08-21","4286","800","3511","28","1","53","53900","JP-45"
"2021-08-22","4286","898","3511","28","1","151","53900","JP-45"
"2021-08-23","4636","958","3635","29","2","14","56157","JP-45"
"2021-08-24","4772","1036","3693","29","3","14","56729","JP-45"
